id_bat,final_community
BAT_2,0_0
BAT_5,0_1
BAT_6,0_1
BAT_7,0_1
BAT_8,0_1
BAT_9,0_1
BAT_10,0_1
BAT_11,0_1
BAT_13,0_2
BAT_14,0_2
BAT_15,0_2
BAT_16,0_2
BAT_26,0_3
BAT_36,0_4
BAT_37,0_4
BAT_38,0_4
BAT_39,0_4
BAT_83,0_5
BAT_98,0_6
BAT_102,0_7
BAT_103,0_8
BAT_105,0_8
BAT_106,0_8
BAT_108,0_9
BAT_111,0_10
BAT_112,0_10
BAT_114,0_11
BAT_115,0_12
BAT_116,0_13
BAT_144,0_14
BAT_145,0_14
BAT_146,0_15
BAT_150,0_16
BAT_152,0_17
BAT_153,0_17
BAT_155,0_17
BAT_156,0_17
BAT_158,0_18
BAT_159,0_18
BAT_160,0_18
BAT_161,0_18
BAT_163,0_17
BAT_172,0_17
BAT_173,0_17
BAT_183,0_19
BAT_184,0_19
BAT_185,0_19
BAT_186,0_19
BAT_194,0_20
BAT_195,0_20
BAT_196,0_17
BAT_199,0_21
BAT_200,0_21
BAT_201,0_21
BAT_203,0_17
BAT_204,0_17
BAT_205,0_17
BAT_206,0_17
BAT_207,0_17
BAT_209,0_22
BAT_210,0_23
BAT_212,0_23
BAT_215,0_22
BAT_227,0_24
BAT_230,0_25
BAT_233,0_25
BAT_234,0_25
BAT_235,0_25
BAT_236,0_25
BAT_237,0_26
BAT_238,0_26
BAT_242,0_26
BAT_243,0_26
BAT_244,0_26
BAT_245,0_27
BAT_247,0_27
BAT_248,0_27
BAT_249,0_27
BAT_250,0_28
BAT_252,0_28
BAT_253,0_28
BAT_254,0_28
BAT_255,0_28
BAT_257,0_28
BAT_258,0_28
BAT_259,0_28
BAT_260,0_28
BAT_261,0_28
BAT_263,0_28
BAT_264,0_28
BAT_265,0_28
BAT_266,0_28
BAT_267,0_28
BAT_268,0_28
BAT_269,0_28
BAT_270,0_28
BAT_271,0_28
BAT_272,0_28
BAT_274,0_28
BAT_275,0_28
BAT_276,0_28
BAT_277,0_28
BAT_278,0_28
BAT_280,0_28
BAT_282,0_28
BAT_283,0_28
BAT_284,0_28
BAT_285,0_28
BAT_286,0_28
BAT_287,0_28
BAT_290,0_29
BAT_291,0_29
BAT_293,0_30
BAT_296,0_30
BAT_297,0_30
BAT_299,0_30
BAT_302,0_30
BAT_304,0_30
BAT_306,0_30
BAT_307,0_31
BAT_310,0_31
BAT_311,0_31
BAT_312,0_31
BAT_313,0_31
BAT_314,0_32
BAT_315,0_32
BAT_2546,0_31
BAT_2547,0_31
BAT_2551,0_31
BAT_2552,0_31
BAT_2555,0_31
BAT_2556,0_31
BAT_2557,0_31
BAT_3159,0_33
BAT_3162,0_33
BAT_3164,0_33
BAT_3165,0_33
BAT_3182,0_17
BAT_3330,0_34
BAT_3334,0_35
BAT_3335,0_35
BAT_3337,0_36
BAT_3340,0_37
BAT_3341,0_38
BAT_3342,0_38
BAT_3343,0_38
BAT_3367,0_39
BAT_3370,0_40
BAT_3371,0_41
BAT_3373,0_42
BAT_3394,0_43
BAT_3395,0_43
BAT_3396,0_44
BAT_3417,0_45
BAT_3418,0_45
BAT_3419,0_45
BAT_3425,0_45
BAT_3430,0_46
BAT_3431,0_47
BAT_3432,0_47
BAT_3433,0_47
BAT_3435,0_48
BAT_3437,0_49
BAT_3438,0_49
BAT_3439,0_49
BAT_3440,0_49
BAT_3441,0_50
BAT_3442,0_50
BAT_3443,0_50
BAT_3444,0_50
BAT_3445,0_50
BAT_3446,0_50
BAT_3449,0_51
BAT_3451,0_52
BAT_3453,0_53
BAT_3457,0_28
BAT_3458,0_54
BAT_3464,0_55
BAT_3470,0_56
BAT_3471,0_56
BAT_3472,0_56
BAT_3473,0_57
BAT_3474,0_57
BAT_3475,0_57
BAT_3477,0_58
BAT_3480,0_59
BAT_3486,0_60
BAT_3504,0_61
BAT_3505,0_61
BAT_3508,0_62
BAT_3510,0_62
BAT_3537,0_63
BAT_3554,0_64
BAT_3555,0_64
BAT_3559,0_65
BAT_3561,0_65
BAT_3563,0_66
BAT_3564,0_66
BAT_3565,0_17
BAT_3568,0_67
BAT_3572,0_68
BAT_3577,0_68
BAT_3578,0_68
BAT_3586,0_69
BAT_3589,0_70
BAT_3591,0_71
BAT_3592,0_72
BAT_3593,0_72
BAT_3594,0_72
BAT_3595,0_72
BAT_3598,0_72
BAT_3605,0_73
BAT_3608,0_74
BAT_3610,0_75
BAT_3612,0_75
BAT_3613,0_57
BAT_3617,0_76
BAT_3619,0_77
BAT_3620,0_78
BAT_3626,0_79
BAT_3628,0_66
BAT_3629,0_66
BAT_3630,0_66
BAT_3633,0_80
BAT_3634,0_81
BAT_3638,0_82
BAT_3639,0_83
BAT_3640,0_84
BAT_3641,0_85
BAT_3646,0_86
BAT_3647,0_86
BAT_3652,0_87
BAT_3655,0_87
BAT_3656,0_87
BAT_3668,0_88
BAT_3669,0_77
BAT_3670,0_77
BAT_3673,0_89
BAT_3674,0_12
BAT_3676,0_3
BAT_3678,0_90
BAT_3681,0_91
BAT_3683,0_92
BAT_3684,0_93
BAT_3685,0_93
BAT_3686,0_93
BAT_3687,0_94
BAT_3694,0_95
BAT_3696,0_95
BAT_3698,0_95
BAT_3704,0_96
BAT_3706,0_97
BAT_3711,0_98
BAT_3712,0_31
BAT_3715,0_99
BAT_3716,0_99
BAT_3725,0_100
BAT_3733,0_101
BAT_3734,0_85
BAT_3735,0_85
BAT_3736,0_85
BAT_3737,0_85
BAT_3740,0_93
BAT_3741,0_102
BAT_3742,0_81
BAT_3744,0_103
BAT_3745,0_103
BAT_3746,0_19
BAT_3748,0_19
BAT_3752,0_104
BAT_3754,0_104
BAT_3755,0_104
BAT_3761,0_105
BAT_3762,0_105
BAT_3767,0_106
BAT_3769,0_107
BAT_3773,0_108
BAT_3776,0_109
BAT_3778,0_110
BAT_3780,0_111
BAT_3781,0_111
BAT_3782,0_111
BAT_3783,0_111
BAT_3784,0_111
BAT_3785,0_111
BAT_3786,0_111
BAT_3787,0_111
BAT_3788,0_111
BAT_3789,0_111
BAT_3790,0_111
BAT_3791,0_111
BAT_3792,0_110
BAT_3794,0_112
BAT_3795,0_10
BAT_3796,0_10
BAT_3797,0_10
BAT_3801,0_113
BAT_3804,0_114
BAT_3830,0_115
BAT_3841,0_116
BAT_3842,0_69
BAT_3844,0_117
BAT_3845,0_118
BAT_3848,0_119
BAT_3850,0_120
BAT_3855,0_121
BAT_3857,0_122
BAT_3859,0_122
BAT_3861,0_122
BAT_3862,0_122
BAT_3863,0_123
BAT_3874,0_124
BAT_3875,0_124
BAT_3876,0_124
BAT_3877,0_125
BAT_3879,0_125
BAT_3880,0_125
BAT_3881,0_125
BAT_3882,0_125
BAT_3883,0_125
BAT_3884,0_125
BAT_3886,0_125
BAT_3887,0_125
BAT_3888,0_17
BAT_3889,0_17
BAT_3903,0_126
BAT_3904,0_126
BAT_3905,0_127
BAT_3906,0_128
BAT_3907,0_129
BAT_3908,0_130
BAT_3909,0_131
BAT_3911,0_132
BAT_3912,0_130
BAT_3913,0_126
BAT_3916,0_133
BAT_3918,0_134
BAT_3921,0_135
BAT_3925,0_136
BAT_3927,0_134
BAT_3929,0_128
BAT_3931,0_132
BAT_3935,0_129
BAT_3939,0_137
BAT_3940,0_138
BAT_3943,0_130
BAT_3944,0_127
BAT_3946,0_139
BAT_3947,0_140
BAT_3950,0_140
BAT_3956,0_126
BAT_3957,0_126
BAT_3958,0_141
BAT_3959,0_141
BAT_3961,0_141
BAT_3963,0_141
BAT_3966,0_142
BAT_3967,0_143
BAT_3970,0_144
BAT_3978,0_145
BAT_3985,0_87
BAT_3986,0_87
BAT_3987,0_87
BAT_3988,0_146
BAT_3989,0_87
BAT_3991,0_147
BAT_3994,0_87
BAT_3999,0_87
BAT_4000,0_148
BAT_4001,0_87
BAT_4002,0_147
BAT_4004,0_87
BAT_4005,0_87
BAT_4006,0_149
BAT_4007,0_147
BAT_4009,0_87
BAT_4010,0_87
BAT_4011,0_29
BAT_4013,0_87
BAT_4014,0_149
BAT_4015,0_150
BAT_4016,0_151
BAT_4018,0_149
BAT_4023,0_152
BAT_4025,0_153
BAT_4026,0_147
BAT_4030,0_87
BAT_4031,0_147
BAT_4034,0_87
BAT_4035,0_154
BAT_4037,0_154
BAT_4038,0_154
BAT_4041,0_155
BAT_4042,0_155
BAT_4044,0_156
BAT_4046,0_156
BAT_4047,0_156
BAT_4048,0_157
BAT_4049,0_156
BAT_4050,0_156
BAT_4054,0_158
BAT_4055,0_158
BAT_4057,0_159
BAT_4058,0_159
BAT_4059,0_159
BAT_4060,0_159
BAT_4061,0_159
BAT_4062,0_159
BAT_4064,0_159
BAT_4065,0_160
BAT_4066,0_161
BAT_4067,0_125
BAT_4070,0_162
BAT_4072,0_163
BAT_4073,0_164
BAT_4074,0_165
BAT_4076,0_166
BAT_4078,0_162
BAT_4079,0_164
BAT_4080,0_167
BAT_4081,0_168
BAT_4083,0_169
BAT_4084,0_170
BAT_4085,0_171
BAT_4087,0_161
BAT_4088,0_172
BAT_4089,0_173
BAT_4090,0_162
BAT_4092,0_174
BAT_4093,0_175
BAT_4096,0_175
BAT_4097,0_176
BAT_4099,0_177
BAT_4100,0_178
BAT_4101,0_179
BAT_4102,0_145
BAT_4103,0_180
BAT_4105,0_162
BAT_4108,0_181
BAT_4109,0_181
BAT_4110,0_125
BAT_4111,0_181
BAT_4112,0_181
BAT_4113,0_181
BAT_4114,0_107
BAT_4115,0_181
BAT_4116,0_160
BAT_4118,0_182
BAT_4120,0_145
BAT_4121,0_183
BAT_4122,0_183
BAT_4125,0_184
BAT_4126,0_165
BAT_4127,0_185
BAT_4128,0_165
BAT_4129,0_162
BAT_4134,0_178
BAT_4135,0_186
BAT_4136,0_187
BAT_4137,0_162
BAT_4138,0_188
BAT_4139,0_189
BAT_4140,0_190
BAT_4142,0_180
BAT_4143,0_174
BAT_4144,0_163
BAT_4148,0_162
BAT_4150,0_191
BAT_4151,0_165
BAT_4155,0_162
BAT_4156,0_162
BAT_4160,0_192
BAT_4161,0_193
BAT_4162,0_171
BAT_4164,0_162
BAT_4165,0_179
BAT_4172,0_181
BAT_4173,0_181
BAT_4174,0_181
BAT_4180,0_194
BAT_4186,0_97
BAT_4187,0_97
BAT_4188,0_195
BAT_4189,0_196
BAT_4192,0_197
BAT_4193,0_195
BAT_4195,0_196
BAT_4196,0_195
BAT_4197,0_198
BAT_4199,0_97
BAT_4200,0_97
BAT_4202,0_199
BAT_4210,0_200
BAT_4220,0_194
BAT_4222,0_194
BAT_4225,0_194
BAT_4228,0_201
BAT_4232,0_201
BAT_4237,0_154
BAT_4238,0_154
BAT_4239,0_202
BAT_4240,0_202
BAT_4241,0_203
BAT_4242,0_202
BAT_4243,0_204
BAT_4250,0_120
BAT_4255,0_205
BAT_4258,0_206
BAT_4259,0_207
BAT_4260,0_208
BAT_4261,0_209
BAT_4262,0_206
BAT_4263,0_207
BAT_4264,0_206
BAT_4265,0_210
BAT_4266,0_211
BAT_4267,0_212
BAT_4268,0_213
BAT_4270,0_206
BAT_4272,0_212
BAT_4273,0_214
BAT_4274,0_215
BAT_4276,0_207
BAT_4278,0_207
BAT_4279,0_216
BAT_4280,0_211
BAT_4283,0_207
BAT_4285,0_209
BAT_4286,0_209
BAT_4288,0_107
BAT_4290,0_207
BAT_4291,0_207
BAT_4292,0_217
BAT_4293,0_218
BAT_4295,0_219
BAT_4296,0_220
BAT_4299,0_210
BAT_4301,0_221
BAT_4302,0_215
BAT_4303,0_205
BAT_4305,0_215
BAT_4306,0_222
BAT_4307,0_207
BAT_4308,0_207
BAT_4309,0_207
BAT_4310,0_207
BAT_4311,0_207
BAT_4312,0_223
BAT_4313,0_207
BAT_4314,0_207
BAT_4315,0_224
BAT_4317,0_207
BAT_4318,0_207
BAT_4319,0_207
BAT_4320,0_223
BAT_4321,0_223
BAT_4322,0_207
BAT_4323,0_223
BAT_4324,0_206
BAT_4327,0_216
BAT_4331,0_225
BAT_4333,0_226
BAT_4336,0_227
BAT_4337,0_207
BAT_4338,0_220
BAT_4340,0_228
BAT_4343,0_140
BAT_4344,0_140
BAT_4345,0_229
BAT_4346,0_207
BAT_4349,0_206
BAT_4350,0_219
BAT_4353,0_214
BAT_4354,0_221
BAT_4355,0_219
BAT_4365,0_230
BAT_4369,0_231
BAT_4375,0_219
BAT_4377,0_231
BAT_4378,0_232
BAT_4382,0_233
BAT_4383,0_232
BAT_4387,0_231
BAT_4388,0_234
BAT_4391,0_205
BAT_4394,0_205
BAT_4397,0_213
BAT_4398,0_235
BAT_4400,0_215
BAT_4402,0_215
BAT_4403,0_215
BAT_4404,0_235
BAT_4405,0_215
BAT_4406,0_213
BAT_4407,0_205
BAT_4408,0_206
BAT_4409,0_205
BAT_4410,0_215
BAT_4412,0_235
BAT_4413,0_236
BAT_4414,0_213
BAT_4418,0_235
BAT_4420,0_214
BAT_5348,0_109
BAT_5349,0_123
BAT_5353,0_24
BAT_5355,0_237
BAT_5358,0_238
BAT_5361,0_24
BAT_5363,0_24
BAT_5364,0_239
BAT_5365,0_24
BAT_5366,0_240
BAT_5367,0_241
BAT_5368,0_24
BAT_5369,0_24
BAT_5375,0_123
BAT_5378,0_121
BAT_5380,0_24
BAT_5381,0_242
BAT_5382,0_109
BAT_5383,0_109
BAT_5384,0_109
BAT_5385,0_243
BAT_5386,0_165
BAT_5387,0_193
BAT_5388,0_193
BAT_5389,0_193
BAT_5391,0_244
BAT_5393,0_244
BAT_5395,0_245
BAT_5396,0_246
BAT_5397,0_96
BAT_5398,0_247
BAT_5399,0_244
BAT_5403,0_248
BAT_5405,0_245
BAT_5407,0_96
BAT_5409,0_244
BAT_5410,0_244
BAT_5414,0_249
BAT_5415,0_244
BAT_5416,0_244
BAT_5417,0_244
BAT_5421,0_96
BAT_5423,0_79
BAT_5424,0_79
BAT_5425,0_79
BAT_5427,0_250
BAT_5438,0_251
BAT_5439,0_251
BAT_5440,0_251
BAT_5443,0_251
BAT_5444,0_251
BAT_5445,0_223
BAT_5446,0_223
BAT_5448,0_223
BAT_5450,0_252
BAT_5451,0_253
BAT_5458,0_254
BAT_5460,0_255
BAT_5461,0_255
BAT_5462,0_255
BAT_5463,0_255
BAT_5465,0_255
BAT_5466,0_255
BAT_5467,0_255
BAT_5468,0_255
BAT_5469,0_255
BAT_5470,0_255
BAT_5471,0_255
BAT_5472,0_255
BAT_5474,0_255
BAT_5475,0_255
BAT_5476,0_255
BAT_5479,0_255
BAT_5523,0_256
BAT_5527,0_256
BAT_5529,0_256
BAT_5534,0_257
BAT_5535,0_257
BAT_5536,0_257
BAT_5537,0_257
BAT_9314,0_258
BAT_10055,0_259
BAT_10056,0_259
BAT_10057,0_259
BAT_10058,0_259
BAT_10059,0_259
BAT_10060,0_259
BAT_10061,0_259
BAT_10062,0_260
BAT_10065,0_261
BAT_10079,0_262
BAT_10081,0_263
BAT_10082,0_263
BAT_10083,0_263
BAT_10084,0_263
BAT_10085,0_263
BAT_10086,0_264
BAT_10087,0_264
BAT_10088,0_264
BAT_10089,0_264
BAT_10090,0_265
BAT_10093,0_266
BAT_10097,0_267
BAT_10099,0_268
BAT_10100,0_268
BAT_10101,0_269
BAT_10103,0_270
BAT_10105,0_271
BAT_10106,0_272
BAT_10107,0_272
BAT_10108,0_272
BAT_10111,0_272
BAT_10112,0_273
BAT_10113,0_273
BAT_10119,0_274
BAT_10120,0_274
BAT_10121,0_275
BAT_10122,0_275
BAT_10124,0_276
BAT_10127,0_277
BAT_10128,0_277
BAT_10129,0_278
BAT_10130,0_278
BAT_10132,0_279
BAT_10133,0_279
BAT_10136,0_280
BAT_10137,0_281
BAT_10140,0_282
BAT_10142,0_283
BAT_10146,0_284
BAT_10147,0_283
BAT_10150,0_285
BAT_10151,0_286
BAT_10152,0_287
BAT_10154,0_287
BAT_10157,0_288
BAT_10158,0_288
BAT_10161,0_288
BAT_10163,0_85
BAT_10164,0_85
BAT_10165,0_85
BAT_10166,0_85
BAT_10167,0_289
BAT_10168,0_289
BAT_10169,0_289
BAT_10170,0_290
BAT_10173,0_291
BAT_10174,0_292
BAT_10175,0_291
BAT_10177,0_293
BAT_10178,0_293
BAT_10179,0_294
BAT_10181,0_295
BAT_10183,0_259
BAT_10184,0_259
BAT_10185,0_296
BAT_10186,0_259
BAT_10187,0_297
BAT_10191,0_298
BAT_10195,0_299
BAT_10196,0_299
BAT_10199,0_300
BAT_10206,0_301
BAT_10207,0_301
BAT_10208,0_301
BAT_10210,0_84
BAT_10212,0_84
BAT_10213,0_302
BAT_10215,0_303
BAT_10219,0_304
BAT_10221,0_304
BAT_10222,0_304
BAT_10223,0_304
BAT_10224,0_84
BAT_10226,0_84
BAT_10229,0_305
BAT_10230,0_306
BAT_10231,0_306
BAT_10232,0_306
BAT_10233,0_306
BAT_10234,0_306
BAT_10235,0_259
BAT_10236,0_259
BAT_10237,0_259
BAT_10239,0_307
BAT_10240,0_308
BAT_10243,0_309
BAT_10244,0_310
BAT_10245,0_311
BAT_10246,0_311
BAT_10247,0_311
BAT_10248,0_312
BAT_10249,0_312
BAT_10255,0_313
BAT_10256,0_314
BAT_10257,0_314
BAT_10260,0_315
BAT_10261,0_316
BAT_10262,0_317
BAT_10263,0_317
BAT_10265,0_318
BAT_10266,0_318
BAT_10267,0_319
BAT_10273,0_320
BAT_10279,0_321
BAT_10280,0_321
BAT_10283,0_322
BAT_10284,0_322
BAT_10285,0_322
BAT_10286,0_322
BAT_10287,0_322
BAT_10288,0_322
BAT_10289,0_322
BAT_10290,0_322
BAT_10291,0_322
BAT_10294,0_322
BAT_10295,0_322
BAT_10297,0_322
BAT_10298,0_322
BAT_10301,0_322
BAT_10302,0_322
BAT_10303,0_323
BAT_10304,0_323
BAT_10305,0_323
BAT_10306,0_323
BAT_10308,0_324
BAT_10309,0_324
BAT_10310,0_324
BAT_10314,0_325
BAT_10316,0_326
BAT_10321,0_326
BAT_10322,0_326
BAT_10324,0_326
BAT_10325,0_326
BAT_10328,0_326
BAT_10329,0_326
BAT_10331,0_326
BAT_10332,0_326
BAT_10336,0_327
BAT_10337,0_327
BAT_10338,0_327
BAT_10339,0_94
BAT_10340,0_328
BAT_10341,0_328
BAT_10345,0_329
BAT_10346,0_329
BAT_10347,0_329
BAT_10348,0_329
BAT_10350,0_330
BAT_10351,0_331
BAT_10352,0_331
BAT_10353,0_332
BAT_10355,0_92
BAT_10356,0_333
BAT_10357,0_333
BAT_10358,0_333
BAT_10359,0_92
BAT_10361,0_92
BAT_10363,0_334
BAT_10364,0_334
BAT_10365,0_334
BAT_10366,0_93
BAT_10367,0_93
BAT_10368,0_93
BAT_10370,0_335
BAT_10372,0_336
BAT_10376,0_337
BAT_10377,0_338
BAT_10378,0_339
BAT_10380,0_340
BAT_10381,0_340
BAT_10383,0_340
BAT_10386,0_340
BAT_10387,0_340
BAT_10388,0_340
BAT_10389,0_340
BAT_10391,0_340
BAT_10392,0_340
BAT_10393,0_340
BAT_10394,0_340
BAT_10395,0_340
BAT_10396,0_340
BAT_10397,0_340
BAT_10399,0_340
BAT_10400,0_340
BAT_10401,0_340
BAT_10403,0_340
BAT_10406,0_340
BAT_10409,0_341
BAT_10411,0_341
BAT_10412,0_341
BAT_10413,0_341
BAT_10415,0_341
BAT_10416,0_341
BAT_10420,0_341
BAT_10421,0_341
BAT_10422,0_341
BAT_10423,0_341
BAT_10424,0_341
BAT_10425,0_341
BAT_10426,0_341
BAT_10428,0_341
BAT_10429,0_341
BAT_10432,0_342
BAT_10434,0_342
BAT_10435,0_342
BAT_10436,0_342
BAT_10437,0_342
BAT_10441,0_342
BAT_10445,0_342
BAT_10448,0_342
BAT_10449,0_342
BAT_10452,0_342
BAT_10454,0_342
BAT_10456,0_342
BAT_10458,0_342
BAT_10460,0_342
BAT_10462,0_342
BAT_10463,0_342
BAT_10464,0_342
BAT_10465,0_342
BAT_10467,0_342
BAT_10468,0_342
BAT_10469,0_342
BAT_10471,0_342
BAT_10473,0_343
BAT_10477,0_344
BAT_10478,0_344
BAT_10479,0_342
BAT_10480,0_342
BAT_10481,0_342
BAT_10482,0_342
BAT_10483,0_342
BAT_10484,0_342
BAT_10485,0_342
BAT_10486,0_342
BAT_10487,0_342
BAT_10489,0_345
BAT_10492,0_346
BAT_10493,0_346
BAT_10496,0_346
BAT_10497,0_346
BAT_10504,0_347
BAT_10505,0_348
BAT_10506,0_348
BAT_10507,0_348
BAT_10508,0_348
BAT_10509,0_348
BAT_10510,0_348
BAT_10511,0_348
BAT_10512,0_348
BAT_10513,0_348
BAT_10516,0_348
BAT_10518,0_348
BAT_10521,0_349
BAT_10522,0_349
BAT_10523,0_349
BAT_10524,0_350
BAT_10526,0_350
BAT_10527,0_350
BAT_10528,0_351
BAT_10530,0_352
BAT_10532,0_353
BAT_10533,0_353
BAT_10534,0_354
BAT_10535,0_56
BAT_10537,0_355
BAT_10538,0_355
BAT_10539,0_355
BAT_10542,0_356
BAT_10543,0_357
BAT_10545,0_358
BAT_10547,0_359
BAT_10548,0_359
BAT_10550,0_359
BAT_10552,0_360
BAT_10554,0_361
BAT_10555,0_58
BAT_10556,0_362
BAT_10557,0_363
BAT_10558,0_363
BAT_10560,0_364
BAT_10562,0_365
BAT_10563,0_366
BAT_10564,0_367
BAT_10565,0_368
BAT_10566,0_368
BAT_10567,0_368
BAT_10568,0_368
BAT_10570,0_368
BAT_10571,0_368
BAT_10572,0_369
BAT_10574,0_369
BAT_10575,0_370
BAT_10576,0_371
BAT_10577,0_372
BAT_10578,0_373
BAT_10584,0_374
BAT_10585,0_374
